panel	dataset	source_file	ACTIVATION_CONCORDANCE	ACTIVATION_EFFECT	ATTENUATION_CONCORDANCE	ATTENUATION_EFFECT	D1_MEAN	D30_MEAN	D7_MEAN	LODO_retention	N_GENES	PEAK_TIME	QUALITY	RETURN_TOWARD_SKIN_RATIO	SKIN_MEAN	SUBTYPE_SENSITIVITY	activation	activation_concordance	activation_sign_preserved	attenuation	attenuation_concordance	attenuation_sign_preserved	donor	gene	input_type	low_cell_count_warning	module	n_fibroblast_cells	rank	rank_stability	sample_id	score	technical_flag	timepoint
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH26		raw integer UMI counts	NO		724			PWH26D0			Skin
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH26		raw integer UMI counts	NO		255			PWH26D1			D1
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH26		raw integer UMI counts	NO		920			PWH26D7			D7
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH26		raw integer UMI counts	NO		843			PWH26D30			D30
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH27		raw integer UMI counts	NO		521			PWH27D0			Skin
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH27		raw integer UMI counts	NO		497			PWH27D1			D1
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH27		raw integer UMI counts	NO		1992			PWH27D7			D7
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH27		raw integer UMI counts	NO		2096			PWH27D30			D30
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH28		raw integer UMI counts	NO		907			PWH28D0			Skin
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH28		raw integer UMI counts	NO		260			PWH28D1			D1
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH28		raw integer UMI counts	NO		909			PWH28D7			D7
B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv																					PWH28		raw integer UMI counts	NO		2335			PWH28D30			D30
C_D	GSE241132	06_results/gateA/A2_MODULE_METRICS.tsv	3	1.56620473374993	3	2.39577054750412	1.27158559198293	-1.12418495552119	0.147218505305265		718	D1	HIGH_QUALITY	0.529666263025087	-0.294619141767002	BOTH_MAJOR_SUBTYPES			3			3					D1_M1							
C_D	GSE241132	06_results/gateA/A2_MODULE_METRICS.tsv	3	2.37034656831763	3	1.59953215757829	1.19907362196713	-0.400458535611159	0.372657859994518		634	D1	HIGH_QUALITY	0.325190593557178	-1.1712729463505	BOTH_MAJOR_SUBTYPES			3			3					D1_M2							
C_D	GSE241132	06_results/gateA/A2_MODULE_METRICS.tsv	3	1.95016930601141	3	1.59437486012462	-0.726943500360681	-0.17054563795905	1.42382922216557		546	D7	HIGH_QUALITY	0.182442848918615	-0.52634008384584	BOTH_MAJOR_SUBTYPES			3			3					D7_M1							
C_D	GSE241132	06_results/gateA/A2_MODULE_METRICS.tsv	3	1.69702965644758	3	2.27373255660385	0.29141458845857	-1.04728334840623	1.22644920819762		444	D7	HIGH_QUALITY	0.339830771116386	-0.470580448249963	BOTH_MAJOR_SUBTYPES			3			3					D7_M2							
C_D	GSE241132	06_results/gateA/A2_MODULE_METRICS.tsv	3	2.44894335776856	3	1.252481558911	0.243528081090928	-0.099849280381457	1.15263227852954		482	D7	HIGH_QUALITY	0.488562461102462	-1.29631107923901	BOTH_MAJOR_SUBTYPES			3			3					D7_M3							
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M1					-0.324643132504583		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M1					1.38373184593566		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M1					-0.021516987993693		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M1					-1.03757172543739		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M1					-0.217334840797628		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M1					1.21900169222182		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M1					0.162959975024084		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M1					-1.16462682644828		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D1_M1					-0.341879451998796		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D1_M1					1.2120232377913		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D1_M1					0.300212528885405		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH28				D1_M1					-1.17035631467791		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M2					-1.26976614659099		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M2					1.40440835613046		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M2					0.245146074382485		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH26				D1_M2					-0.379788283921961		D30
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M2					-1.14312306729825		Skin
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M2					1.18198496882242		D1
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M2					0.370556421404216		D7
E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv																					PWH27				D1_M2					-0.409418322928389		D30
