figure	panel	dataset	source_file	source_sha256_if_available	variables	biological_n	plot_n	statistic_source	status
Fig1	A	study_design	00_admin/final_freeze/MANUSCRIPT_CLAIM_LOCK.md	NA	permitted claim sequence	3 discovery donors	NA	NA	READY_TO_RENDER
Fig1	B	GSE241132	06_results/gateA/PSEUDOBULK_SAMPLE_MAP.tsv	62e86a6693364b4e26e5c95bf89615047981f70f0e8b4d83976668c859e4fc04	donor,timepoint,n_fibroblast_cells	3 donors	12 pseudobulks	NA	READY_TO_RENDER
Fig1	C_D	GSE241132	06_results/gateA/A2_MODULE_METRICS.tsv	336633442283f74e0cb0a5296c817329d65f2b3f459384893edb16db0f3c6293	module,peak_time,activation_effect,attenuation_effect,quality	3 donors	5 high-quality modules	NA	READY_TO_RENDER
Fig1	E	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv	dc6edad68f5585d98f57c87f6d0521ad248e5181b336b4fb86686dc20181d3f4	donor,timepoint,module,score	3 donors	12 donor-timepoint scores	NA	READY_TO_RENDER
Fig1	F	GSE241132	06_results/gateA/TWPS_PRIMARY_D7_M3_CORE100.tsv	6d5a62c080f2d0d9e4077983294d2a6a443a9e0e3c565691a4d3a863cc2afcc3	rank,gene,module,activation,attenuation,LODO_retention	3 donors	100 genes	lock manifest	READY_TO_RENDER
Fig2	A	GSE241132	06_results/gateA/A2_MODULE_SCORES.tsv	dc6edad68f5585d98f57c87f6d0521ad248e5181b336b4fb86686dc20181d3f4	donor,timepoint,module,score	3 donors	12 donor-timepoint scores	NA	READY_TO_RENDER
Fig2	B_C_D	GSE178411	06_results/spectrum/GSE178411_PATIENT_STATE_TWPS.tsv	23a2efac2a085381a7c4d79383095835ab0c8025d524a3b3ae9d2e05091b855f	patient_id,state,n_samples,CORE100	75 patients	97 patient-state means	GSE178411_TWPS_SUMMARY.tsv	READY_TO_RENDER
Fig2	C_D_F	GSE178411	06_results/spectrum/GSE178411_TWPS_SUMMARY.tsv	b5ebe65a8bdcb9212ae041ef54b7862b18fac28478cff96d0a8ef57f386f95b2	contrast,n_patients_A,n_patients_B,difference,ci_low,ci_high,pvalue	contrast-specific	contrast-specific	patient-clustered CR1	READY_TO_RENDER
Fig2	E	GSE178411	06_results/spectrum/GSE178411_TWPS_REPORT.md	NA	slope,CI,P only	106 valid-day records	no plot-ready patient-day values	frozen descriptive model	NOT_TRACEABLE_OMITTED
Fig2	F	GSE178411	06_results/spectrum/GSE178411_SIGNATURE_SENSITIVITY.tsv	b5ebe65a8bdcb9212ae041ef54b7862b18fac28478cff96d0a8ef57f386f95b2	contrast,signature,difference,ci_low,ci_high,pvalue	contrast-specific	16 contrast-signature rows	patient-clustered CR1	READY_TO_RENDER
Fig3	A	GSE113619	06_results/gateB/corrected/GATE_B_SAMPLE_MAP_IDENTITY.tsv	NA	subject_id,group,timepoint	12 subjects	24 records	NA	READY_TO_RENDER
Fig3	B	GSE113619	06_results/gateB/corrected/GATE_B_TWPS_SCORES_CORRECTED.tsv	2f2e9f7eeb8e7a961a3b93d54797f69911e24323ddd209e36983925ec40d45c8	subject_id,group,timepoint,CORE100	12 subjects	24 records	locked paired endpoint	READY_TO_RENDER
Fig3	C	GSE113619	06_results/gateB/corrected/GATE_B_SUBJECT_CHANGES_CORRECTED.tsv	8ab6ad18b97a601f4d30547556b7f4af0c3a259c8002b892d6bba36ab0e1f4dc	subject_id,group,delta_TWPS	12 subjects	12 deltas	corrected report	READY_TO_RENDER
Fig3	D_E	GSE181316	06_results/gateC/GSE181316_DONOR_TWPS.tsv	37f96cf03c87c4c0a021e050e995f494a363f69593c5b647c57013ed08213d86	donor_id,group,CORE100,coverage	6 donors	6 donor scores	GSE181316_GATE_C_SUMMARY.tsv	READY_TO_RENDER
Fig3	E	GSE181316	06_results/gateC/GSE181316_GATE_C_SUMMARY.tsv	954be565c633781806b2b740a3e6f575c9011e532f9348165c25c46917f4832e	difference,hedges_g,cliffs_delta,pairwise_superiority,exact_p_two	3 vs 3	6 donor scores	exact permutation	READY_WITH_PRESENTATION_LIMITATION
Fig3	F	GSE113619;GSE181316	06_results/gateB/corrected/GATE_B_SIGNATURE_SENSITIVITY_CORRECTED.tsv;06_results/gateC/GSE181316_SIGNATURE_SENSITIVITY.tsv	3c59bdf00dc67b51f89181aafdb426479f75dedfa73356489c98abff11e5cc34;ef9eafd5acaf55a52c8f7016c27155efbf498d2ba0f52e0d899fe9a3839bb238	signature,difference,hedges_g,P	8 vs 4;3 vs 3	8 signature rows	frozen sensitivity tables	READY_TO_RENDER
Fig4	A_B	GSE178411	06_results/spectrum/GSE178411_PATIENT_STATE_TWPS.tsv	23a2efac2a085381a7c4d79383095835ab0c8025d524a3b3ae9d2e05091b855f	patient_id,state,CORE100	19 early;23 late;26 HTS	68 patient-state means	GSE178411_TWPS_SUMMARY.tsv	READY_TO_RENDER
Fig4	B	GSE178411	06_results/spectrum/GSE178411_TWPS_SUMMARY.tsv	b5ebe65a8bdcb9212ae041ef54b7862b18fac28478cff96d0a8ef57f386f95b2	contrast,difference,ci_low,ci_high,pvalue	26 vs 23	49 patient-state means	patient-clustered CR1	READY_TO_RENDER
Fig4	C_D_E	GSE241124	06_results/spatial/GSE241124_DONOR_TRAJECTORIES.tsv	ee68875f404cb617136f61aa88166ddb409110a4bef1ca843050c18ea8d77abb	donor,timepoint,signature,TWPS_score	4 donors	16 slides	GSE241124_SPATIAL_TWPS_SUMMARY.tsv	READY_WITH_PRESENTATION_LIMITATION
