sample_id	GSM	donor_id	timepoint_raw	timepoint_standardized	tissue	platform	processed_file	spatial_coordinates_available	histology_image_available	included	notes
Donor4-Skin	GSM7717016	Donor4	Skin	SKIN	Skin	10x Visium	GSM7717016_Skin_filtered_feature_bc_matrix.h5;GSM7717016_Skin_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor4-Wound1	GSM7717017	Donor4	Wound1	D1	Skin	10x Visium	GSM7717017_Wound1_filtered_feature_bc_matrix.h5;GSM7717017_Wound1_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor4-Wound7	GSM7717018	Donor4	Wound7	D7	Skin	10x Visium	GSM7717018_Wound7_filtered_feature_bc_matrix.h5;GSM7717018_Wound7_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor4-Wound30	GSM7717019	Donor4	Wound30	D30	Skin	10x Visium	GSM7717019_Wound30_filtered_feature_bc_matrix.h5;GSM7717019_Wound30_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor1-Skin	GSM8238462	Donor1	Skin	SKIN	Skin	10x Visium	GSM8238462_P17401_1001_filtered_feature_bc_matrix.h5;GSM8238462_P17401_1001_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor1-Wound1	GSM8238463	Donor1	Wound1	D1	Skin	10x Visium	GSM8238463_P17401_1002_filtered_feature_bc_matrix.h5;GSM8238463_P17401_1002_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor1-Wound7	GSM8238464	Donor1	Wound7	D7	Skin	10x Visium	GSM8238464_P17401_1003_filtered_feature_bc_matrix.h5;GSM8238464_P17401_1003_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor1-Wound30	GSM8238465	Donor1	Wound30	D30	Skin	10x Visium	GSM8238465_P17401_1004_filtered_feature_bc_matrix.h5;GSM8238465_P17401_1004_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor2-Skin	GSM8238466	Donor2	Skin	SKIN	Skin	10x Visium	GSM8238466_P20063_101_filtered_feature_bc_matrix.h5;GSM8238466_P20063_101_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor2-Wound1	GSM8238467	Donor2	Wound1	D1	Skin	10x Visium	GSM8238467_P20063_102_filtered_feature_bc_matrix.h5;GSM8238467_P20063_102_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor2-Wound7	GSM8238468	Donor2	Wound7	D7	Skin	10x Visium	GSM8238468_P20063_103_filtered_feature_bc_matrix.h5;GSM8238468_P20063_103_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor2-Wound30	GSM8238469	Donor2	Wound30	D30	Skin	10x Visium	GSM8238469_P20063_104_filtered_feature_bc_matrix.h5;GSM8238469_P20063_104_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor3-Skin	GSM8238470	Donor3	Skin	SKIN	Skin	10x Visium	GSM8238470_P20063_105_filtered_feature_bc_matrix.h5;GSM8238470_P20063_105_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor3-Wound1	GSM8238471	Donor3	Wound1	D1	Skin	10x Visium	GSM8238471_P20063_106_filtered_feature_bc_matrix.h5;GSM8238471_P20063_106_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor3-Wound7	GSM8238472	Donor3	Wound7	D7	Skin	10x Visium	GSM8238472_P20063_107_filtered_feature_bc_matrix.h5;GSM8238472_P20063_107_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
Donor3-Wound30	GSM8238473	Donor3	Wound30	D30	Skin	10x Visium	GSM8238473_P20063_108_filtered_feature_bc_matrix.h5;GSM8238473_P20063_108_spatial_images.zip	YES	YES	YES	Official GEO metadata; H5 barcodes match the position file exactly.
